RA,Dec,Distance,Name,Max
267.5599166666666,14.283194444444446,62.6,SN2004cs,2004/06/28
305.58849999999995,6.430638888888889,71.132,SN2004da,2004/07/06
341.98283333333336,-22.327916666666667,49.54,SN2004db,2004/06/27
238.92091666666664,47.86363888888889,89.361,SN2004di,2004/07/26
283.8905,-53.723,35.0,SN2004do,2004/08/11
30.551424999999995,-0.10058333333333334,84.45,SN2004dt,2004/08/22
64.05499999999999,-16.755694444444444,28.9,SN2004ea,2004/08/28
31.560916666666664,-37.334833333333336,94.4,SN2004ee,2004/07/30
308.2257916666667,9.928527777777777,54.0,SN2004eo,2004/09/30
329.2894166666666,-34.58091666666667,33.3,SN2004eq,2004/08/12
327.28254166666665,0.44422222222222224,63.0,SN2004ey,2004/10/25
305.6458333333333,-29.822416666666665,76.2,SN2004fa,2004/08/29
40.813541666666666,32.42377777777777,61.0,SN2004fd,2004/10/26
356.851875,28.389555555555557,95.0,SN2004fg,2004/11/14
308.7980833333333,64.80713888888889,41.05,SN2004fu,2004/11/16
270.69329166666665,-66.4315,46.0,SN2004fv,2004/11/03
133.060625,52.891777777777776,86.536,SN2004fw,2004/11/06
175.31233333333333,89.08627777777777,83.94,SN2004fy,2004/11/03
30.27670833333333,31.878944444444446,77.6292,SN2004fz,2004/11/21
159.84725,-27.91111111111111,49.1,SN2004gi,2004/11/16
194.91887499999999,-14.967333333333334,76.2,SN2004gm,2004/11/29
77.20170833333333,62.43908333333333,76.303,SN2004gw,2004/12/26
243.44045833333328,61.02386111111111,69.41,SN2004gz,2004/12/27
101.43124999999998,-31.23125,38.0,SN2004S,2004/02/03
190.90216666666663,11.530777777777779,17.8,SN2004W,2004/01/27
47.62754166666666,35.08394444444445,98.08,PTF09hqp,N/A
12.026599999999998,0.50018,99.45,SDSS-II SN 10506,2005/11/02
49.228899999999996,-0.35597999999999996,51.79,SDSS-II SN 16121,2006/11/11
36.512191666666666,0.261225,86.22,SDSS-II SN 16225,2006/11/09
211.59296249999997,16.483447222222225,62.6,SDSS2744-54272-561,N/A
37.680208333333326,-2.9388333333333336,76.0,SN2005A,2005/01/17
107.6365,75.35808333333333,55.0,SN2005ai,2005/02/11
207.5062375,-30.578394444444445,62.0,SN2005al,2005/03/01
139.05195833333335,-16.304444444444446,33.0,SN2005am,2005/03/07
162.01508333333334,-20.84922222222222,60.047,SN2005as,2005/02/01
219.313,38.4564,54.8211,SN2005bc,2005/03/31
192.4209583333333,-11.0965,38.0,SN2005bo,2005/04/18
209.2702083333333,41.844944444444444,37.0,SN2005cc,2005/05/25
230.38799999999998,-7.449194444444445,25.0,SN2005cf,2005/06/12
199.50191666666666,-26.809194444444444,21.0,SN2005cn,2005/06/25
352.72324999999995,-2.938444444444445,76.2,SN2005co,2005/06/19
185.5717083333333,12.397027777777778,96.208,SN2005cr,2005/06/23
29.728291666666664,36.67633333333333,70.0,SN2005cx,2005/07/15
325.59441666666663,-44.78922222222222,27.0,SN2005dc,2005/07/29
270.5973333333333,26.05213888888889,67.9784,SN2005de,2005/08/17
64.40770833333333,-62.769305555555555,14.0,SN2005df,2005/08/18
238.5138333333333,23.136083333333332,65.29,SN2005dh,2005/08/16
336.3868333333333,-24.238916666666668,100.0,SN2005di,2005/08/11
34.66354166666666,-6.9030000000000005,75.486,SN2005dm,2005/08/31
205.26854166666666,67.67230555555555,39.0,SN2005dv,2005/09/13
73.579875,1.641,27.0,SN2005ec,2005/09/15
77.95316666666666,5.194166666666667,56.0,SN2005el,2005/09/27
119.80808333333331,32.92213888888889,80.0,SN2005eo,2005/10/04
342.5035,11.61825,79.0,SN2005er,2005/09/28
37.77054166666666,27.701805555555556,67.1,SN2005ev,2005/10/02
54.84891666666666,35.04694444444444,11.1,SN2005ew,2005/10/06
6.962041666666666,-1.1981388888888889,54.0,SN2005hk,2005/11/10
338.5305833333333,5.568416666666667,55.0,SN2005kc,2005/11/19
53.768125,-24.944111111111113,27.0,SN2005ke,2005/12/01
160.1181458333333,9.182538888888889,80.0,SN2005ki,2005/11/30
43.56654166666666,42.724944444444446,74.0,SN2005ls,2005/12/13
175.6092083333333,20.118055555555557,80.0,SN2005lt,2005/12/18
144.38649999999998,23.202777777777776,99.0,SN2005M,2005/02/05
49.957833333333326,41.50516666666667,64.0,SN2005mz,2006/01/06
211.6417083333333,-5.461833333333334,37.0,SN2005P,2005/01/22
212.12016666666665,7.057555555555555,69.0,SN2005S,2005/01/21
27.690624999999997,21.759888888888888,34.0,SN2005W,2005/02/13
190.4370833333333,35.06872222222223,92.0,SN2006ac,2006/02/12
76.07574999999999,-63.58258333333334,40.0,SN2006aw,2006/03/14
171.01441666666665,-12.291444444444444,71.0,SN2006ax,2006/03/30
350.29075,33.40033333333333,61.0,SN2006B,2005/12/31
